CUSIP,Security Type,Security Term,Auction Date,Issue Date,Maturity Date,Price per $100,High Yield,Interest Rate
912810TJ7,Bond,30-Year,08/11/2022,08/15/2022,08/15/2052,97.941002,0.03106,0.03000
912810TH1,Bond,19-Year 10-Month,07/20/2022,08/01/2022,05/15/2042,97.563393,0.03420,0.03250
912810TG3,Bond,29-Year 10-Month,07/13/2022,07/15/2022,05/15/2052,95.354138,0.03115,0.02875
912810TH1,Bond,19-Year 11-Month,06/22/2022,06/30/2022,05/15/2042,96.603091,0.03488,0.03250
912810TG3,Bond,29-Year 11-Month,06/09/2022,06/15/2022,05/15/2052,94.045539,0.03185,0.02875
912810TH1,Bond,20-Year,05/18/2022,05/31/2022,05/15/2042,99.416025,0.03290,0.03250
912810TG3,Bond,30-Year,05/12/2022,05/16/2022,05/15/2052,97.596896,0.02997,0.02875
912810TF5,Bond,19-Year 10-Month,04/20/2022,05/02/2022,02/15/2042,89.399717,0.03095,0.02375
912810TD0,Bond,29-Year 10-Month,04/13/2022,04/18/2022,02/15/2052,88.643787,0.02815,0.02250
912810TF5,Bond,19-Year 11-Month,03/23/2022,03/31/2022,02/15/2042,95.753797,0.02651,0.02375
912810TD0,Bond,29-Year 11-Month,03/10/2022,03/15/2022,02/15/2052,97.331824,0.02375,0.02250
912810TE8,Bond,30-Year,02/17/2022,02/28/2022,02/15/2052,98.102682,0.00195,0.00125
912810TF5,Bond,20-Year,02/16/2022,02/28/2022,02/15/2042,99.667386,0.02396,0.02375
912810TD0,Bond,30-Year,02/10/2022,02/15/2022,02/15/2052,98.067757,0.02340,0.02250
912810TC2,Bond,19-Year 10-Month,01/19/2022,01/31/2022,11/15/2041,96.646052,0.02210,0.02000
912810TB4,Bond,29-Year 10-Month,01/13/2022,01/18/2022,11/15/2051,95.566819,0.02075,0.01875
912810TC2,Bond,19-Year 11-Month,12/21/2021,12/31/2021,11/15/2041,100.950671,0.01942,0.02000
912810TB4,Bond,29-Year 11-Month,12/09/2021,12/15/2021,11/15/2051,99.543665,0.01895,0.01875
912810TC2,Bond,19-Year 11-Month,12/02/2021,12/06/2021,11/15/2041,102.121152,0.01872,0.02000
912810TC2,Bond,20-Year,11/17/2021,11/30/2021,11/15/2041,98.940421,0.02065,0.02000
912810TB4,Bond,30-Year,11/10/2021,11/15/2021,11/15/2051,98.526943,0.01940,0.01875
912810TA6,Bond,19-Year 10-Month,10/20/2021,11/01/2021,08/15/2041,94.354444,0.02100,0.01750
912810SZ2,Bond,29-Year 10-Month,10/13/2021,10/15/2021,08/15/2051,98.908044,0.02049,0.02000
912810TA6,Bond,19-Year 11-Month,09/21/2021,09/30/2021,08/15/2041,99.249087,0.01795,0.01750
912810SZ2,Bond,29-Year 11-Month,09/09/2021,09/15/2021,08/15/2051,102.042432,0.01910,0.02000
912810SV1,Bond,29-Year 6-Month,08/19/2021,08/31/2021,02/15/2051,117.718212,-0.00292,0.00125
912810TA6,Bond,20-Year,08/18/2021,08/31/2021,08/15/2041,98.336995,0.01850,0.01750
912810SZ2,Bond,30-Year,08/12/2021,08/16/2021,08/15/2051,99.105786,0.02040,0.02000
912810SY5,Bond,19-Year 10-Month,07/21/2021,08/02/2021,05/15/2041,105.917067,0.01890,0.02250
912810SX7,Bond,29-Year 10-Month,07/13/2021,07/15/2021,05/15/2051,108.392467,0.02000,0.02375
912810SY5,Bond,19-Year 11-Month,06/15/2021,06/30/2021,05/15/2041,102.097342,0.02120,0.02250
912810SX7,Bond,29-Year 11-Month,06/10/2021,06/15/2021,05/15/2051,104.447071,0.02172,0.02375
912810SY5,Bond,20-Year,05/19/2021,06/01/2021,05/15/2041,99.424698,0.02286,0.02250
912810SX7,Bond,30-Year,05/13/2021,05/17/2021,05/15/2051,99.573653,0.02395,0.02375
912810SW9,Bond,19-Year 10-Month,04/21/2021,04/30/2021,02/15/2041,95.676788,0.02144,0.01875
912810SU3,Bond,29-Year 10-Month,04/13/2021,04/15/2021,02/15/2051,90.454200,0.02320,0.01875
912810SW9,Bond,19-Year 11-Month,03/16/2021,03/31/2021,02/15/2041,93.400551,0.02290,0.01875
912810SU3,Bond,29-Year 11-Month,03/11/2021,03/15/2021,02/15/2051,90.943237,0.02295,0.01875
912810SV1,Bond,30-Year,02/18/2021,02/26/2021,02/15/2051,105.014087,-0.00040,0.00125
912810SW9,Bond,20-Year,02/17/2021,03/01/2021,02/15/2041,99.256119,0.01920,0.01875
912810SU3,Bond,30-Year,02/11/2021,02/16/2021,02/15/2051,98.684360,0.01933,0.01875
912810ST6,Bond,19-Year 10-Month,01/20/2021,02/01/2021,11/15/2040,95.258107,0.01657,0.01375
912810SS8,Bond,29-Year 10-Month,01/13/2021,01/15/2021,11/15/2050,95.413195,0.01825,0.01625
912810ST6,Bond,19-Year 11-Month,12/21/2020,12/31/2020,11/15/2040,98.367014,0.01470,0.01375
912810SS8,Bond,29-Year 11-Month,12/10/2020,12/15/2020,11/15/2050,99.059547,0.01665,0.01625
912810ST6,Bond,20-Year,11/18/2020,11/30/2020,11/15/2040,99.185441,0.01422,0.01375
912810SS8,Bond,30-Year,11/12/2020,11/16/2020,11/15/2050,98.708151,0.01680,0.01625
912810SQ2,Bond,19-Year 10-Month,10/21/2020,11/02/2020,08/15/2040,95.765607,0.01370,0.01125
912810SP4,Bond,29-Year 10-Month,10/08/2020,10/15/2020,08/15/2050,95.183187,0.01578,0.01375
912810SQ2,Bond,19-Year 11-Month,09/15/2020,09/30/2020,08/15/2040,98.449355,0.01213,0.01125
912810SP4,Bond,29-Year 11-Month,09/10/2020,09/15/2020,08/15/2050,97.635118,0.01473,0.01375
912810SM1,Bond,29-Year 6-Month,08/20/2020,08/31/2020,02/15/2050,116.316267,-0.00272,0.00250
912810SQ2,Bond,20-Year,08/19/2020,08/31/2020,08/15/2040,98.936182,0.01185,0.01125
912810SP4,Bond,30-Year,08/13/2020,08/17/2020,08/15/2050,99.243433,0.01406,0.01375
912810SR0,Bond,19-Year 10-Month,07/22/2020,07/31/2020,05/15/2040,101.174893,0.01059,0.01125
912810SN9,Bond,29-Year 10-Month,07/09/2020,07/15/2020,05/15/2050,98.034284,0.01330,0.01250
912810SR0,Bond,19-Year 11-Month,06/17/2020,06/30/2020,05/15/2040,96.702809,0.01314,0.01125
912810SN9,Bond,29-Year 11-Month,06/11/2020,06/15/2020,05/15/2050,95.158932,0.01450,0.01250
912810SR0,Bond,20-Year,05/20/2020,06/01/2020,05/15/2040,98.321703,0.01220,0.01125
912810SN9,Bond,30-Year,05/13/2020,05/15/2020,05/15/2050,97.734134,0.01342,0.01250
912810SL3,Bond,29-Year 10-Month,04/08/2020,04/15/2020,02/15/2050,116.588638,0.01325,0.02000
912810SL3,Bond,29-Year 11-Month,03/12/2020,03/16/2020,02/15/2050,116.761508,0.01320,0.02000
912810SM1,Bond,30-Year,02/20/2020,02/28/2020,02/15/2050,99.642269,0.00261,0.00250
912810SL3,Bond,30-Year,02/13/2020,02/18/2020,02/15/2050,98.640308,0.02061,0.02000
912810SK5,Bond,29-Year 10-Month,01/09/2020,01/15/2020,11/15/2049,100.723975,0.02341,0.02375
912810SK5,Bond,29-Year 11-Month,12/12/2019,12/16/2019,11/15/2049,101.461576,0.02307,0.02375
912810SK5,Bond,30-Year,11/07/2019,11/15/2019,11/15/2049,98.833264,0.02430,0.02375
912810SJ8,Bond,29-Year 10-Month,10/10/2019,10/15/2019,08/15/2049,101.747638,0.02170,0.02250
912810SJ8,Bond,29-Year 11-Month,09/12/2019,09/16/2019,08/15/2049,99.565627,0.02270,0.02250
912810SG4,Bond,29-Year 6-Month,08/22/2019,08/30/2019,02/15/2049,115.685230,0.00501,0.01000
